Время (миллисекунды);элементы
0,000194;356
0,000239;671
0,000168;437
0,000194;123
0,000179;384
0,000176;672
0,000175;437
0,000215;204
0,000203;622
0,000161;532
0,000172;271
0,000174;585
0,000315;855
0,000243;259
0,000249;365
0,00015;1257
0,00019;571
0,000198;318
0,00016;389
0,000172;332
0,000214;409
0,000163;395
0,000153;72
0,000171;28
0,000194;377
0,000159;609
0,000172;354
0,000154;539
0,000191;511
0,000178;432
0,000256;142
0,000171;276
0,000214;367
0,000163;94
0,000153;190
0,000191;82
0,000138;246
0,000228;460
0,000186;141
0,000177;265
0,000195;788
0,000279;436
0,000216;631
0,000203;410
0,000241;240
0,000208;223
0,000182;404
0,000216;538
0,000203;407
0,000181;508
0,000196;19
0,000179;495
0,000196;62
0,000199;205
0,00022;350
0,000224;543
0,000225;111
0,000225;795
0,000245;309
0,000249;650
0,00023;308
0,000166;574
0,000173;318
0,000195;313
0,000179;263
0,000196;297
0,000199;89
0,0002;103
0,00022;225
0,000184;235
0,000177;742
0,000215;345
0,000163;189
0,000173;430
0,000235;271
0,000227;147
0,000185;247
0,000177;441
0,000235;650
0,000167;157
0,000193;660
0,000199;558
0,00022;191
0,000224;494
0,000205;304
0,000181;318
0,000196;468
0,000179;340
0,000116;313
0,000203;483
0,000141;479
0,000188;608
0,000178;168
0,000156;447
0,000151;256
0,00011;191
0,000162;211
0,000212;309
0,000222;923
0,000204;317
0,000241;358
0,000228;412
0,000186;757
0,000217;325
0,000303;852
0,000261;369
0,000212;394
0,000202;256
0,00014;170
0,000168;468
0,000214;192
0,000143;93
0,000149;192
0,00021;490
0,000202;388
0,00018;291
0,000216;341
0,000223;870
0,000165;182
0,000173;764
0,000215;756
0,000203;156
0,000261;221
0,000232;529
0,000226;369
0,000165;631
0,000173;611
0,000195;580
0,000299;226
0,0002;22
0,00022;186
0,000204;219
0,000221;901
0,000244;110
0,000269;78
0,000214;364
0,000223;691
0,000185;692
0,000177;123
0,000195;496
0,000219;239
0,000204;46
0,000221;353
0,000244;154
0,000189;357
0,000178;329
0,000196;481
0,000199;242
0,0002;424
0,00016;788
0,000152;201
0,00019;264
0,000198;151
0,00024;510
0,000208;104
0,000202;490
0,0002;250
0,0002;977
0,00022;192
0,000184;97
0,000237;766
0,000167;646
0,000153;284
0,000171;402
0,000174;17
0,000175;375
0,000175;653
0,000175;227
0,000135;572
0,000147;412
0,000169;394
0,000154;280
0,000171;599
0,000194;317
0,000199;488
0,00016;357
0,000252;300
0,00021;395
0,000202;709
0,00016;846
0,000212;559
0,000242;618
0,000168;130
0,000134;224
0,000207;567
0,000261;308
0,000232;340
0,000246;593
0,000249;290
0,00019;128
0,000198;225
0,0002;560
0,00022;321
0,000204;604
0,000321;413
0,000204;440
0,000161;755
0,000292;505
